,inputs,preds,golds
140,modern2poem: 半 山 腰 喷 泄 云 雾 迷 迷 茫 茫 ， 虽 然 有 绝 顶 谁 能 登 上 顶 峰 。,"generated:半 山 腰 喷 云 雾 迷 茫, 然 有 绝 峰 谁 能 登 峰 。","喷 云 泄 雾 藏 半 腹 ， 虽 有 绝 顶 谁 能 穷 ？
"
141,modern2poem: 座 旁 的 听 者 个 个 感 慨 叹 息 ，,generated:座 旁 听 人 个 感 叹 。,"傍 邻 闻 者 多 叹 息 ，
"
142,modern2poem: 当 你 怀 念 家 园 盼 归 之 日 ，,generated:当你 怀念 家 园 盼 归 日 。,"当 君 怀 归 日 ，
"
143,modern2poem: 新 雨 中 草 色 多 么 青 翠 葱 绿 ， 晚 风 将 松 涛 声 送 进 窗 户 里 。,generated:雨 草 多 青 葱 晚 风 松 涛 入 窗 。,"草 色 新 雨 中 ， 松 声 晚 窗 里 。
"
144,modern2poem: 听 说 国 家 边 境 军 情 紧 急 ，,generated:听 说 国 家 边 军 情 紧 急 。,"边 城 多 警 急 ，
"
145,modern2poem: 还 是 少 妇 们 梦 中 相 依 相 伴 的 丈 夫 。,generated:少妇 梦 相 伴 。,"犹 是 春 闺 梦 里 人 ！
"
146,modern2poem: 跋 涉 在 道 路 崎 岖 又 遥 远 的 三 巴 路 上 ，,"generated:跋 在 道 崎, 远 三 巴 路 。","迢 递 三 巴 路 ，
"
147,modern2poem: 村 民 们 衣 冠 简 朴 古 代 风 气 仍 然 保 存 。,generated:民 民 衣 简 朴 古 风 然 保 存 。,"衣 冠 简 朴 古 风 存 。
"
148,modern2poem: 大 厦 如 若 倾 倒 要 有 梁 栋 支 撑 ，,generated:大 厦 若 倾 要 梁 栋 支 。,"大 厦 如 倾 要 梁 栋 ，
"
149,modern2poem: 西 起 荆 门 往 东 与 九 江 相 通 。,generated:西 起 荆 往 东 与 九 相 通 。,"荆 门 九 派 通 。
"
150,modern2poem: 帝 尧 之 世 称 陶 唐 。,generated:帝 尧 世 称 陶 唐 。,"爰 自 陶 唐 。
"
151,modern2poem: 但 是 这 些 又 怎 比 得 上 青 山 绿 水 的 道 路 上 ，,generated:但 是 何 是 何 是 青 山 绿 水 。,"何 如 山 水 路 ，
"
152,modern2poem: 近 处 篱 笆 边 都 种 上 了 菊 花 ， 秋 天 到 了 却 尚 未 见 它 开 放 。,"generated:近 篱 边 都 种 菊 花 秋, 尚 尚 既 。","近 种 篱 边 菊 ， 秋 来 未 著 花 。
"
153,modern2poem: 鲜 红 的 嘴 唇 绰 约 的 舞 姿 ， 都 已 逝 去 ， 到 了 晚 年 ， 有 弟 子 把 艺 术 继 承 发 扬 。,"generated:鲜 红 唇 绰 舞, 都,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","绛 唇 珠 袖 两 寂 寞 ， 晚 有 弟 子 传 芬 芳 。
"
154,modern2poem: 潘 岳 悼 念 亡 妻 只 是 徒 然 悲 鸣 。,generated:悼念 亡 妻 只 然 悲 鸣 。,"潘 岳 悼 亡 犹 费 词 。
"
155,modern2poem: 阳 光 照 耀 下 的 汉 阳 树 木 清 晰 可 见 ， 鹦 鹉 洲 上 有 一 片 碧 绿 的 芳 草 覆 盖 。,"generated:光 照,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","晴 川 历 历 汉 阳 树 ， 芳 草 萋 萋 鹦 鹉 洲 。
"
156,modern2poem: 秋 日 青 枫 江 上 孤 帆 远 远 飘 去 ， 白 帝 城 边 黄 叶 飘 零 古 木 稀 疏 。,generated:秋 青 枫 江 孤 远 飘 白 帝 城 边 黄 飘 零 木 稀 疏 。,"青 枫 江 上 秋 帆 远 ， 白 帝 城 边 古 木 疏 。
"
157,modern2poem: 我 家 祖 先 甚 遥 远 ， 帝 尧 之 世 称 陶 唐 。,generated:我 家 祖 先 甚 远 帝 尧 世 称 陶 唐 。,"悠 悠 我 祖 ， 爰 自 陶 唐 。
"
158,modern2poem: 登 高 远 望 天 地 间 壮 观 景 象 ，,generated:高 远 望 天 地 壮 观 景 象 。,"登 高 壮 观 天 地 间 ，
"
159,modern2poem: 武 皇 开 拓 边 疆 的 念 头 还 没 停 止 。,generated:宗 开 边 疆 。,"武 皇 开 边 意 未 已 。
"
160,modern2poem: 江 上 的 月 色 分 外 清 明 ， 胡 雁 从 夜 空 飞 掠 而 过 。,generated:江 月 清 明 雁 从 夜 飞 过 。,"江 上 月 明 胡 雁 过 ，
"
161,modern2poem: 游 子 像 一 片 白 云 缓 缓 地 离 去 ， 只 剩 下 思 妇 站 在 离 别 的 青 枫 浦 不 胜 忧 愁 。,"generated:游子 像 一 白 云 静, 只 下 思 妇 站 在 离 别 青 枫 不 胜 忧 。","白 云 一 片 去 悠 悠 ， 青 枫 浦 上 不 胜 愁 。
"
162,modern2poem: 明 亮 的 月 光 洒 在 床 前 的 窗 户 纸 上 ，,generated:明 月 光 窗 纸 。,"床 前 明 月 光 ，
"
163,modern2poem: 都 把 旧 的 桃 符 取 下 换 上 新 的 桃 符 。,generated:旧桃 取 换 新桃 。,"总 把 新 桃 换 旧 符 。
"
164,modern2poem: 世 事 渺 茫 自 我 的 命 运 怎 能 预 料 ， 只 有 黯 然 的 春 愁 让 我 孤 枕 难 眠 。,"generated:渺茫 自 我 运 何 能 预, 惟 有 寂 孤 难 眠 。","世 事 茫 茫 难 自 料 ， 春 愁 黯 黯 独 成 眠 。
"
165,modern2poem: 听 说 你 怀 有 二 心 ，,generated:听 说 你 怀 有 二 心,"闻 君 有 两 意 ，
"
166,modern2poem: 后 来 却 成 了 吴 王 宫 里 的 爱 妃 。,generated:后 来 是 王 宮 里的 爱 妃 。,"暮 作 吴 宫 妃 。
"
167,modern2poem: 上 战 场 面 对 着 刀 山 剑 树 ， 从 不 将 安 和 危 放 在 心 里 。,"generated:战 场 面 刀 剑 树, 不 将 安 危 放 在 心 。","弃 身 锋 刃 端 ， 性 命 安 可 怀 ？
"
168,modern2poem: 历 世 不 绝 显 荣 光 。,generated:纪 不 绝 显 光 。,"历 世 重 光 。
"
169,modern2poem: 周 宣 王 发 愤 起 兵 挥 起 了 天 戈 。,generated:周宣 王 发 兵 挥 天 戈 。,"宣 王 愤 起 挥 天 戈 。
"
170,modern2poem: 皇 恩 浩 荡 如 果 准 许 留 在 太 学 ，,generated:皇恩 浩 荡 果 准 留 太 学 。,"圣 恩 若 许 留 太 学 ，
"
171,modern2poem: 怎 堪 忍 受 正 当 玄 鬓 盛 年 的 好 时 光 ， 独 自 吟 诵 白 头 吟 这 么 哀 怨 的 诗 行 。,generated:忍 受 正 当 玄 年 光 独 吟 白 诗 行 哀 怨 。,"不 堪 玄 鬓 影 ， 来 对 白 头 吟 。
"
172,modern2poem: 功 绩 告 成 之 后 不 自 行 隐 退 都 死 于 非 命 。,generated:功 绩 告 成 不 隐 都 死 非 命 。,"功 成 不 退 皆 殒 身 。
"
173,modern2poem: 还 像 九 只 雏 凤 鸣 叫 啾 啾 啼 。,generated:尚 如 九 雏 凤 鸣 啾 。,"九 雏 鸣 凤 乱 啾 啾 。
"
174,modern2poem: 漫 漫 长 夜 中 泛 流 着 琴 瑟 的 清 音 ；,generated:漫 漫 夜 泛 着 琴 瑟 清 。,"遥 夜 泛 清 瑟 ，
"
175,modern2poem: 我 早 年 遇 到 了 太 平 世 道 ， 在 山 林 中 隐 居 了 二 十 年 。,"generated:年 相 太 平 世, 隐, 。","昔 岁 逢 太 平 ， 山 林 二 十 年 。
"
176,modern2poem: 自 惭 这 样 长 久 地 孤 独 沉 沦 ， 辜 负 你 频 繁 地 来 把 我 慰 问 。,"generated:自 惭 久 孤 沉, 以, 来 慰 。","以 我 独 沉 久 ， 愧 君 相 见 频 。
"
177,modern2poem: 从 前 有 个 漂 亮 女 人 ， 名 叫 公 孙 大 娘 ， 每 当 她 跳 起 剑 舞 来 ， 就 要 轰 动 四 方 。,"generated:先 有 一 漂 一 名 公 孙, 每 当 她 跳 剑 舞, 就 轰 四 方 。","昔 有 佳 人 公 孙 氏 ， 一 舞 剑 器 动 四 方 。
"
178,modern2poem: 其 中 有 几 位 都 是 后 妃 的 亲 戚 ，,generated:一 有 几 都 是 后 妃 。,"就 中 云 幕 椒 房 亲 ，
"
179,modern2poem: 自 己 到 处 漂 泊 像 什 么 呢 ？,generated:自 己 漂 漂 何?,"飘 飘 何 所 似 ，
"
180,modern2poem: 现 在 已 经 有 人 知 道 那 儿 了 。,generated:已 有 人 知 那 。,"时 人 已 知 处 。
"
181,modern2poem: 秀 美 的 庐 山 挺 拔 在 南 斗 旁 ，,generated:秀美 庐 山 挺 在 南 斗 。,"庐 山 秀 出 南 斗 傍 ，
"
182,modern2poem: 有 的 人 十 五 岁 到 黄 河 以 北 去 戍 守 ，,generated:有 人 十 五 年 黄 以 去 守 。,"或 从 十 五 北 防 河 ，
"
183,modern2poem: 江 流 曲 折 就 像 九 转 的 回 肠 。,generated:江 流 曲 折 像 九 转 肠 。,"江 流 曲 似 九 回 肠 。
"
184,modern2poem: 兄 弟 姐 妹 都 因 她 列 土 封 侯 ，,generated:兄 弟 姐 都 因 其 列 土 封 侯 。,"姊 妹 弟 兄 皆 列 土 ，
"
185,modern2poem: 藤 叶 茂 密 又 繁 盛 。,generated:藤 叶 茂 密 又 盛 。,"维 叶 萋 萋 。
"
186,modern2poem: 自 己 到 处 漂 泊 像 什 么 呢 ？ 就 像 天 地 间 的 一 只 孤 零 零 的 沙 鸥 。,generated:自 自 漂 漂 如 天 地 孤 零 沙 鸥 。,"飘 飘 何 所 似 ， 天 地 一 沙 鸥 。
"
187,modern2poem: 羯 胡 人 狡 诈 事 主 终 究 不 可 靠 ，,generated:羯 胡 人 狡 诈 终 不 可 。,"羯 胡 事 主 终 无 赖 ，
"
188,modern2poem: 统 治 全 国 多 年 竟 找 不 到 一 个 称 心 的 。,generated:统治 全 国 多 年 不 一 称 心 。,"御 宇 多 年 求 不 得 。
"
189,modern2poem: 在 成 都 城 外 那 柏 树 茂 密 的 地 方 。,generated:成 城 外 柏 树 密 地 方 。,"锦 官 城 外 柏 森 森 。
"
190,modern2poem: 仓 库 里 储 藏 了 很 多 腐 烂 的 粮 食 ，,generated:储 储 多 腐 食 。,"仓 腐 寄 顿 ，
"
191,modern2poem: 驾 着 车 登 上 古 原 。,generated:驾 车 登 古 原 。,"驱 车 登 古 原 。
"
192,modern2poem: 远 看 高 山 色 彩 明 亮 ，,"generated:远 观 高 山 色 彩 明,","远 看 山 有 色 ，
"
193,modern2poem: 月 亮 已 经 沦 没 而 迷 惑 不 清 ， 没 有 什 么 可 看 的 不 如 远 远 走 开 吧 。,"generated:月 既 没, 无, 无, 远, 走 。","阴 精 此 沦 惑 ， 去 去 不 足 观 。
"
194,modern2poem: 在 你 生 活 的 当 时 ， 凤 鸟 不 至 ， 你 叹 息 命 运 不 好 ； 麒 麟 出 现 ， 你 又 忧 伤 哀 怨 ， 感 叹 世 乱 道 穷 。,"generated:在 生 活, 凤 不, 哀, 哀 。","叹 凤 嗟 身 否 ， 伤 麟 怨 道 穷 。
"
195,modern2poem: 谁 就 觉 得 府 第 屏 障 增 加 光 辉 。,generated:谁 觉 府 屏 障 光 辉 。,"始 觉 屏 障 生 光 辉 。
"
196,modern2poem: 无 边 无 际 的 树 木 萧 萧 地 飘 下 落 叶 ， 望 不 到 头 的 长 江 水 滚 滚 奔 腾 而 来 。,"generated:无 边 无 木 萧, 不 到 长 河 滚, 腾 来 。","无 边 落 木 萧 萧 下 ， 不 尽 长 江 滚 滚 来 。
"
197,modern2poem: 苍 劲 钩 连 像 金 绳 铁 索 穿 锁 钮 ， 浑 然 又 像 织 梭 化 龙 九 鼎 沦 没 。,"generated:苍 劲 连 像 金 绳 铁 索, 浑 然 织 。","金 绳 铁 索 锁 钮 壮 ， 古 鼎 跃 水 龙 腾 梭 。
"
198,modern2poem: 人 生 道 路 如 此 宽 广 ， 唯 独 我 没 有 出 路 。,"generated:人 生 道 如 此 宽, 独 我 无 出 。","大 道 如 青 天 ， 我 独 不 得 出 。
"
199,modern2poem: 只 有 远 离 故 里 外 出 做 官 之 人 ，,generated:远 故 里 出 作 官 。,"独 有 宦 游 人 ，
"
200,modern2poem: 长 沙 郡 公 业 辉 煌 。,generated:长沙 郡 公 辉 煌 。,"业 融 长 沙 。
"
201,modern2poem: 靠 捡 麦 穗 填 充 饥 肠 。,generated:采麦 穗 填 饥 肠 。,"拾 此 充 饥 肠 。
"
202,modern2poem: 弯 曲 的 山 路 上 原 本 没 有 雨 ，,generated:弯曲 山 路 本 无 雨 。,"山 路 元 无 雨 ，
"
203,modern2poem: 燕 地 小 草 像 碧 丝 般 青 绿 ，,generated:燕 地 小 草 像 碧 丝 绿 。,"燕 草 如 碧 丝 ，
"
204,modern2poem: 东 行 登 上 碣 石 山 ，,"generated:东 行 上,","东 临 碣 石 ，
"
205,modern2poem: 忧 心 如 焚 ，,"generated:忧心如焚,","忧 心 烈 烈 ，
"
206,modern2poem: 随 意 地 用 短 笛 吹 奏 着 不 成 调 的 的 乐 曲 。,generated:随意 用 短 吹 不 成 乐 。,"短 笛 无 腔 信 口 吹 。
"
207,modern2poem: 新 雨 中 草 色 多 么 青 翠 葱 绿 ，,"generated:雨 中 草 多 青 葱,","草 色 新 雨 中 ，
"
208,modern2poem: 剧 辛 和 乐 毅 感 激 知 遇 的 恩 情 ， 竭 忠 尽 智 ， 以 自 己 的 才 能 来 报 效 君 主 。,"generated:剧 辛 乐 毅 感 感 感 情, 尽 智, 以 其 才 效 君 主 。","剧 辛 乐 毅 感 恩 分 ， 输 肝 剖 胆 效 英 才 。
"
209,modern2poem: 回 乡 隐 居 在 终 南 山 旁 。,generated:乡 隐 在 终 山 旁 。,"归 卧 南 山 陲 。
"
210,modern2poem: 东 行 登 上 碣 石 山 ， 来 观 赏 那 苍 茫 的 海 。,generated:东 行 上 石 山 来 观 那 苍 茫 海 。,"东 临 碣 石 ， 以 观 沧 海 。
"
211,modern2poem: 八 月 秋 深 狂 风 大 声 吼 叫 ，,generated:月 秋 深 风 大 呼 。,"八 月 秋 高 风 怒 号 ，
"
212,modern2poem: 山 上 的 树 重 重 遮 住 了 远 望 的 视 线 ，,"generated:山 树 重 遮 远 视,","岭 树 重 遮 千 里 目 ，
"
213,modern2poem: 大 赦 文 书 一 日 万 里 传 四 方 ，,generated:大赦 文 一 万 里 传 四 方 。,"赦 书 一 日 行 万 里 ，
"
214,modern2poem: 从 竹 林 的 缝 隙 里 看 洒 落 下 余 晖 的 夕 阳 。,generated:竹 林 见 落 余 夕 。,"竹 中 窥 落 日 。
"
215,modern2poem: 身 经 沙 场 百 战 铁 甲 已 破 碎 ，,generated:身 沙 百 战 铁 已 碎 。,"百 战 沙 场 碎 铁 衣 ，
"
216,modern2poem: 焚 烧 杀 戮 掠 夺 ，,"generated:焚烧 杀 掠,","焚 烧 杀 掠 ，
"
217,modern2poem: 江 东 亲 友 有 几 人 正 望 眼 欲 穿 ，,generated:江东 亲 友 有 几 人 正 望 眼 欲 穿 。,"江 上 几 人 在 ，
"
218,modern2poem: 晚 风 将 松 涛 声 送 进 窗 户 里 。,generated:晚风 将 松 涛 送 窗 里 。,"松 声 晚 窗 里 。
"
219,modern2poem: 建 国 与 吴 魏 三 分 天 下 成 鼎 足 ， 恢 复 五 铢 钱 币 志 在 汉 室 振 兴 。,generated:建 国 呉 魏 三 天 成 鼎 足 五 铢 钱 。,"势 分 三 足 鼎 ， 业 复 五 铢 钱 。
"
220,modern2poem: 凄 惨 悲 伤 让 我 肝 肠 寸 断 。,generated:凄 悲 伤 让 肝 肠 寸 。,"凄 怆 摧 心 肝 。
"
221,modern2poem: 家 业 在 灾 年 中 荡 然 一 空 ， 兄 弟 分 散 各 自 你 西 我 东 。,"generated:家 业 年 荡 然, 兄, 东, 西, 。","时 难 年 荒 世 业 空 ， 弟 兄 羁 旅 各 西 东 。
"
222,modern2poem: 珍 贵 之 木 的 高 处 啊 ，,generated:珍贵之木 高 啊 。,"矫 矫 珍 木 巅 ，
"
223,modern2poem: 又 到 了 十 月 小 阳 春 。,generated:又 十 月 小 阳 春 。,"岁 亦 阳 止 。
"
224,modern2poem: 柳 绿 花 艳 忽 然 眼 前 又 出 现 一 个 山 村 。,generated:柳 花 艳 忽 然 眼 又 出 一 山 村 。,"柳 暗 花 明 又 一 村 。
"
225,modern2poem: 大 雪 纷 飞 落 满 了 身 上 的 弓 刀 。,generated:大雪 纷 降 身 弓 刀 。,"大 雪 满 弓 刀 。
"
226,modern2poem: 好 比 晨 露 转 瞬 即 逝 ， 失 去 的 时 日 实 在 太 多 ！,"generated:好 晨 露 瞬, 日 实, 太 多!","譬 如 朝 露 ， 去 日 苦 多 。
"
227,modern2poem: 孔 明 庙 前 有 一 株 古 老 的 柏 树 ， 枝 干 色 如 青 铜 根 柢 固 如 盘 石 。,generated:孔 明 庙 前 树 树 干 如 青 铜 根 固 石 。,"孔 明 庙 前 有 老 柏 ， 柯 如 青 铜 根 如 石 。
"
228,modern2poem: 大 清 早 就 骑 马 进 入 了 宫 门 。,generated:清 早 骑 入 宫 门 。,"平 明 骑 马 入 宫 门 。
"
229,modern2poem: 僧 人 告 诉 我 说 ， 古 壁 佛 画 真 堂 皇 ， 用 火 把 照 看 ， 迷 迷 糊 糊 看 不 清 爽 。,"generated:僧人 告 说, 古 壁 佛 画 真, 用, 迷, 糊 看 不 清 。","僧 言 古 壁 佛 画 好 ， 以 火 来 照 所 见 稀 。
"
230,modern2poem: 什 么 时 候 你 能 载 酒 到 这 里 来 ，,generated:何 何 何 何 何 酒 来 。,"何 当 载 酒 来 ，
"
231,modern2poem: 客 居 在 万 里 之 外 的 危 险 地 方 。,generated:客 居 万 里 之 危 地 。,"羁 危 万 里 身 。
"
232,modern2poem: 听 的 人 都 为 她 悲 伤 。,generated:人 听 人 悲 。,"闻 者 为 悲 伤 。
"
233,modern2poem: 我 在 山 中 修 身 养 性 ， 观 赏 朝 槿 晨 开 晚 谢 ； 在 松 下 吃 着 素 食 ， 和 露 折 葵 不 沾 荤 腥 。,"generated:在 山 修 身 作 朝, 在 松 吃, 和 。","山 中 习 静 观 朝 槿 ， 松 下 清 斋 折 露 葵 。
"
234,modern2poem: 黄 昏 时 来 到 空 潭 隐 蔽 之 地 ， 安 然 地 修 禅 抑 制 心 中 毒 龙 。,generated:昏 来 空 潭 隐 然 禅 抑 心 毒 龙 。,"薄 暮 空 潭 曲 ， 安 禅 制 毒 龙 。
"
235,modern2poem: 三 杯 下 肚 ， 一 诺 千 金 ， 义 气 重 于 五 岳 。,"generated:三 杯 下, 一 诺 千 金, 义 重 五 岳 。","三 杯 吐 然 诺 ， 五 岳 倒 为 轻 。
"
236,modern2poem: 我 悟 到 洞 庭 波 兮 木 叶 下 的 诗 情 。,generated:洞 庭 波 木 叶 诗 情 。,"自 觉 洞 庭 波 。
"
237,modern2poem: 贫 家 的 女 儿 不 识 绮 罗 的 芳 香 ，,generated:贫 家 儿 不 识 绮 罗 芳 。,"蓬 门 未 识 绮 罗 香 ，
"
238,modern2poem: 是 因 为 有 永 不 枯 竭 的 源 头 源 源 不 断 地 为 它 输 送 活 水 。,generated:因 有 无 枯 根 不 断 地 为 输 活 水 。,"为 有 源 头 活 水 来 。
"
239,modern2poem: 牢 房 内 闪 着 点 点 鬼 火 一 片 静 谧 ， 春 院 里 的 门 直 到 天 黑 都 始 终 紧 闭 。,"generated:牢 内 闪 点 鬼 一 静, 春 院 里 直 天, 终 紧 。","阴 房 阗 鬼 火 ， 春 院 閟 天 黑 。
"
240,modern2poem: 秋 雨 滴 落 梧 桐 叶 场 面 寂 寞 更 惨 凄 。,generated:秋 雨 落 梧 树 场 寂 更 凄 。,"秋 雨 梧 桐 叶 落 时 。
"
241,modern2poem: 密 林 之 中 何 人 知 晓 我 在 这 里 ？,generated:密林 何 知 我 在?,"深 林 人 不 知 ，
"
242,modern2poem: 我 本 来 就 没 有 家 ， 不 安 身 在 这 里 又 能 到 哪 里 去 呢 ? 何 况 就 算 是 故 乡 ， 也 没 有 像 这 里 这 样 优 美 的 湖 光 山 色 。,"generated:本 无 家 无 何 何 何 是 故, 也 无 如 。","我 本 无 家 更 安 往 ， 故 乡 无 此 好 湖 山 。
"
243,modern2poem: 灯 火 照 耀 着 西 宫 知 道 是 在 夜 饮 ， 眼 前 分 明 浮 现 复 道 蒙 恩 受 宠 时 。,"generated:灯 照 照 西 知 是 在 夜 饮, 眼 复 复 蒙 受 。","火 照 西 宫 知 夜 饮 ， 分 明 复 道 奉 恩 时 。
"
244,modern2poem: 远 看 天 边 的 树 林 活 象 是 荠 菜 ，,generated:远 天 边 林 活 象 。,"天 边 树 若 荠 ，
"
245,modern2poem: 我 这 老 夫 ， 真 不 知 哪 是 要 去 的 地 方 ，   荒 山 里 迈 步 艰 难 ， 越 走 就 越 觉 凄 伤 。,"generated:我 老 夫 真 不 知 何 是 去 野 迈 难, 越 走 越 觉 凄 。","老 夫 不 知 其 所 往 ， 足 茧 荒 山 转 愁 疾 。
"
246,modern2poem: 黄 鹤 一 去 再 也 没 有 回 来 ， 千 百 年 来 只 看 见 悠 悠 的 白 云 。,generated:一 去 又 去 千 百 年 只 见 悠 白 云 。,"黄 鹤 一 去 不 复 返 ， 白 云 千 载 空 悠 悠 。
"
247,modern2poem: 傍 晚 时 心 情 不 快 ， 驾 着 车 登 上 古 原 。,"generated:傍晚 心 情 不, 驾 车 上 古 。","向 晚 意 不 适 ， 驱 车 登 古 原 。
"
248,modern2poem: 在 南 浦 凄 凉 愁 苦 的 分 别 ， 秋 风 萧 索 黯 淡 。,generated:南浦 凄 凉 苦 秋 风 萧 薄 。,"南 浦 凄 凄 别 ， 西 风 袅 袅 秋 。
"
249,modern2poem: 与 吐 蕃 接 壤 的 白 雪 戍 是 那 么 的 遥 远 ， 黄 云 海 戍 迷 离 不 见 。,generated:相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相 相,"白 雪 关 山 远 ， 黄 云 海 戍 迷 。
"
250,modern2poem: 山 中 砍 柴 人 差 不 多 走 尽 ， 烟 霭 中 鸟 儿 刚 归 巢 安 息 。,"generated:山 砍 人 差, 烟, 鸟 初 归 巢 安 。","樵 人 归 欲 尽 ， 烟 鸟 栖 初 定 。
"
251,modern2poem: 孩 子 睡 觉 姿 势 不 好 把 被 子 蹬 破 了 。,generated:童子 睡 觉 姿 不 好 把 子 踩 破,"娇 儿 恶 卧 踏 里 裂 。
"
252,modern2poem: 江 面 上 传 来 马 的 嘶 鸣 看 船 归 ，,generated:江 面 传 马 鸣 船 归 。,"波 上 马 嘶 看 棹 去 ，
"
253,modern2poem: 流 动 的 平 羌 江 上 ， 倒 映 着 月 影 。,"generated:流 平 河, 月 影 。","影 入 平 羌 江 水 流 。
"
254,modern2poem: 它 虽 有 苦 心 也 难 免 蝼 蚁 侵 蚀 ，,generated:苦心 难 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然 然,"苦 心 岂 免 容 蝼 蚁 ，
"
255,modern2poem: 正 要 带 领 轻 骑 兵 去 追 赶 ，,generated:正 要 带 轻 骑 追 。,"欲 将 轻 骑 逐 ，
"
256,modern2poem: 牧 童 笑 而 不 答 遥 指 杏 花 山 村 。,generated:童 笑 不 遥 杏 花 村 。,"牧 童 遥 指 杏 花 村 。
"
257,modern2poem: 助 长 了 炎 热 的 肆 虐 ，,"generated:诗 助 热,","助 长 炎 虐 ，
"
258,modern2poem: 恢 复 五 铢 钱 币 志 在 汉 室 振 兴 。,generated:复 五 钱 币 志 在 汉 兴 。,"业 复 五 铢 钱 。
"
259,modern2poem: 当 年 在 岐 王 宅 里 ， 常 常 见 到 你 的 演 出 ； 在 崔 九 堂 前 ， 也 曾 多 次 欣 赏 你 的 艺 术 。,"generated:年 在 岐 王 宅, 常 见 在 崔 九 堂, 亦 曾 欣 作 。","岐 王 宅 里 寻 常 见 ， 崔 九 堂 前 几 度 闻 。
"
260,modern2poem: 幸 福 不 会 凭 空 至 ，,generated:幸 福 不 会 凭 空 至 。,"福 不 虚 至 ，
"
261,modern2poem: 难 道 不 怕 猎 人 的 金 弹 丸 ？,generated:难道不怕猎人 金弹丸?,"得 无 金 丸 惧 ？
"
262,modern2poem: 香 炉 峰 瀑 布 与 它 遥 遥 相 望 ， 重 崖 叠 嶂 耸 云 霄 莽 莽 苍 苍 。,"generated:香 炉 瀑 与 它 遥 相, 重 崖 叠 云 云 莽 苍 。","香 炉 瀑 布 遥 相 望 ， 回 崖 沓 嶂 凌 苍 苍 。
"
263,modern2poem: 风 急 天 高 猿 猴 啼 叫 显 得 十 分 悲 哀 ，,generated:风 天 高 猿 猴 啼 显 十 悲 。,"风 急 天 高 猿 啸 哀 ，
"
264,modern2poem: 深 夜 时 分 听 到 前 殿 传 来 按 着 节 拍 唱 歌 的 声 音 。,generated:深 夜 分 前 传 唱 声 音 。,"夜 深 前 殿 按 歌 声 。
"
265,modern2poem: 喜 气 洋 洋 归 夫 家 。,generated:喜 气 洋 归 夫 家 。,"宜 其 室 家 。
"
266,modern2poem: 西 原 贼 人 攻 入 道 州 城 ，,"generated:西 原 贼 人 攻 州 城,","西 原 贼 入 道 州 ，
"
267,modern2poem: 孔 明 庙 前 有 一 株 古 老 的 柏 树 ，,generated:孔明 庙 前 有 一 株 古 老 柏 树 。,"孔 明 庙 前 有 老 柏 ，
"
268,modern2poem: 喝 醉 酒 酣 睡 不 知 天 已 黄 昏 ，,generated:醉酒 酣 睡 不 知 天 黄 昏 。,"醉 卧 不 知 白 日 暮 ，
"
269,modern2poem: 太 真 听 说 君 王 的 使 者 到 了 ， 从 绣 饰 华 美 的 帐 子 里 惊 醒 。,generated:太 真 听 君 王 来 从 绣 华 美 帐 。,"闻 道 汉 家 天 子 使 ， 九 华 帐 里 梦 魂 惊 。
"
270,modern2poem: 白 雪 也 嫌 春 色 来 得 太 晚 了 ， 所 以 有 意 化 作 花 儿 在 庭 院 树 间 穿 飞 。,"generated:白雪 也 厌 春 色 来 得 太, 以 有 作 花 在 庭 树 穿 。","白 雪 却 嫌 春 色 晚 ， 故 穿 庭 树 作 飞 花 。
"
271,modern2poem: 牧 童 骑 在 黄 牛 背 上 ， 嘹 亮 的 歌 声 在 林 中 回 荡 。,generated:童 骑 黄 牛 背 声 在 林 回 。,"牧 童 骑 黄 牛 ， 歌 声 振 林 樾 。
"
272,modern2poem: 秋 风 萧 索 黯 淡 。,generated:秋 风 萧 索 黯 淡 。,"西 风 袅 袅 秋 。
"
273,modern2poem: 穿 上 衣 服 推 开 枕 头 出 了 睡 帐 ，,generated:穿 衣 服 推 枕 出 帐 。,"揽 衣 推 枕 起 徘 徊 ，
"
274,modern2poem: 山 峦 重 叠 水 流 曲 折 正 担 心 无 路 可 走 ， 柳 绿 花 艳 忽 然 眼 前 又 出 现 一 个 山 村 。,"generated:山 峦 叠 水 曲 折 担 无 路, 柳 花 艳 忽 然 眼 又 出 一 山 村 。","山 重 水 复 疑 无 路 ， 柳 暗 花 明 又 一 村 。
"
275,modern2poem: 我 和 猫 儿 都 不 愿 出 门 。,generated:我 猫 儿 都 不 愿 出门,"我 与 狸 奴 不 出 门 。
"
